datetime,coords,description,speed,directions,depth
2024-10-28 13:40:00 UTC,"[[13.333333, 71.25]]",Oil slick detected,None,None,None
2024-10-29 05:05:00 UTC,"[[12.916667, 70.5]]",Unlit vessel spotted,6,90,None
2024-10-20 16:45:00 local,"[[12.566667, 70.933333]]","Small craft at 12Â°34'N, 70Â°56'W",5-15 knots,None,None
2024-10-21 09:30:00 local,"[[13.166667, 71.333333]]","Large cargo ship, possible smuggling",18,225,None
2024-10-22 14:15:00 local,"[[12.75, 70.666667]]",Submarine-like contact,None,180,150
2024-10-23 22:00:00 local,"[[13.083333, 71.166667]]","Lights off shore, possible illegal fishing",None,None,None
2024-10-24 11:20:00 local,"[[13.5, 71.75]]",Oil tanker approaching restricted area,None,None,None
2024-10-25 08:45:00 local,"[[12.5, 70.333333]]",Suspicious debris washed ashore,None,None,None
2024-10-26 19:30:00 local,"[[13.25, 71.5]]","Fast-moving air contact, low altitude",None,None,None
2024-10-27 05:10:00 local,"[[12.833333, 70.833333]]",Two vessels rendezvousing at sea,None,None,None
2024-10-28 13:00:00 local,"[[13.333333, 71.25]]",Unidentified submersible near reef,None,None,None
2024-10-29 17:40:00 local,"[[12.666667, 70.5, 13.166667, 71]]",Large-scale military exercise observed,None,None,None
2024-10-24 16:45:00 UTC,"[[13.75, 71.383333]]",Detected submarine periscope,None,270,None
2024-10-24 21:03:00 UTC,[[]],Weather advisory: Tropical storm approaching,None,None,None
2024-10-24 22:15:00 UTC,"[[12.5, 70.75]]",Spotted vessel matching description of wanted smuggling ship,20,315,None
2024-10-24 23:12:00 UTC,"[[13.166667, 71.083333]]",Completed underwater mapping of Sector 4,None,None,80
2024-10-24 24:16:00 UTC,[[]],Port closure due to maintenance,None,None,None
2024-10-24 25:18:30 UTC,"[[12.916667, 70.666667]]","Distress call received from yacht ""Serenity""",None,None,None
2024-10-26 10:45:00 UTC,"[[13.416667, 71.333333]]",Oil spill detected,None,None,None
2024-10-27 08:30:00 UTC,"[[12.666667, 70.5]]","Intercepted fishing vessel ""Lucky Star""",25,45,None
2024-10-28 12:00:00 UTC,[[]],Possible hostile submarine activity,None,None,None
2024-10-29 16:00:00 UTC,"[[13.083333, 70.333333]]","Lighthouse at 13Â°05'N, 70Â°20'W undergoing repairs",None,None,None
2024-10-24 22:00:00,"[[10, 76.25]]",Unidentified submarine detected off the coast of Kerala,200 knots,45-degree angle,80 metres
